location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,org_acronym,org_name,org_type_description,sector_code,sector_name,reference_period_start,reference_period_end
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,ACF,Action against Hunger,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,ADRA,Adventist Development and Relief Agency,International NGO,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,AFVPM,AFVPM,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,CERAN,CERAN,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,CEVEAH,CEVEAH,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,COCIDECHC,Coordination Citoyenne pour les Grands Chantiers de Developpement Communautaire,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,FAT,Fondation Avni Timoun,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,GFAG,Groupement des Femmes en Action des Gonaïves,Civil Society,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,IBESR,Institut Du Bien-Etre Social Et De Recherches,Government,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,IDEFIA,Initiative pour le Developpement Economique Femmes Independantes de l'Artibonite,Civil Society,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,IDEFIA,Initiative pour le Developpement Economique Femmes Independantes de l'Artibonite,Civil Society,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,LIDE,LIDE,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,MSF,Doctors Without Borders,International NGO,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,MSPP,Ministère de la Santé publique et de la Population,Government,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,OCCED'H,Organisation des Cœurs pour le Changement des Enfants Démunis d’Haïti,National NGO,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,ODDEF,Organisation Pour La Défense Des Droits Des Enfants Et Des Femmes,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,OFAGOFADEN,OFAGOFADEN,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,OFDAD,OFDAD,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,OFSA,Organisation des femmes Solidaires de l'Artibonite,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,HEA,Health,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,PI,Plan International,International NGO,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,PI,Plan International,International NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,PLAFODA,Plateforme des Femmes Organisées pour le Développement de l'Artibonite,Civil Society,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,PLAFODA,Plateforme des Femmes Organisées pour le Développement de l'Artibonite,Civil Society,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,POFACGO,Plateforme Des Organisations De Femmes Pour L'avancement De La Commune Des Gonaives,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,POFACGO,Plateforme Des Organisations De Femmes Pour L'avancement De La Commune Des Gonaives,National NGO,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,RAMSA,Rassemblement des Madan Sara,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,REJDET,REJDET,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,SOFAGO,Solidarite Fanm Gonayiv,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,UNICEF,United Nations Children's Fund,United Nations,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,WFP,World Food Programme,United Nations,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gonaives,HT05,Artibonite,HT0511,Gonaives,2,WFP,World Food Programme,United Nations,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Grande Saline,HT05,Artibonite,HT0543,Grande Saline,2,AIDES,AIDES,National NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Grande Saline,HT05,Artibonite,HT0543,Grande Saline,2,AIDES,AIDES,National NGO,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Grande Saline,HT05,Artibonite,HT0543,Grande Saline,2,FAES,Fonds d'assistance économique et sociale,Government,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gros Morne,HT05,Artibonite,HT0521,Gros Morne,2,ACF,Action against Hunger,International NGO,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gros Morne,HT05,Artibonite,HT0521,Gros Morne,2,AFAGM,Association des Femmes en Action de Gros-Morne,Civil Society,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gros Morne,HT05,Artibonite,HT0521,Gros Morne,2,AVSI,Associazione Volontari Servizio Internazionale,International NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gros Morne,HT05,Artibonite,HT0521,Gros Morne,2,KPTGM,KPTGM,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gros Morne,HT05,Artibonite,HT0521,Gros Morne,2,OPENJEGM,OPENJEGM,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gros Morne,HT05,Artibonite,HT0521,Gros Morne,2,OVDDHMO,Organisation des Visionnaires Dévoués pour un Développement de Haute Modernisation,National NGO,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gros Morne,HT05,Artibonite,HT0521,Gros Morne,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,HEA,Health,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gros Morne,HT05,Artibonite,HT0521,Gros Morne,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gros Morne,HT05,Artibonite,HT0521,Gros Morne,2,PI,Plan International,International NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gros Morne,HT05,Artibonite,HT0521,Gros Morne,2,PLAFODA,Plateforme des Femmes Organisées pour le Développement de l'Artibonite,Civil Society,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Gros Morne,HT05,Artibonite,HT0521,Gros Morne,2,WFP,World Food Programme,United Nations,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,L'Estere,HT05,Artibonite,HT0513,L'Estere,2,AFJCE,AFJCE,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,L'Estere,HT05,Artibonite,HT0513,L'Estere,2,AJFCE,Association des Jeunes Femmes Cadres de l'Estere,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,L'Estere,HT05,Artibonite,HT0513,L'Estere,2,AVSI,Associazione Volontari Servizio Internazionale,International NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,L'Estere,HT05,Artibonite,HT0513,L'Estere,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,HEA,Health,2025-01-01,2025-02-28
HTI,True,True,Artibonite,La Chapelle,HT05,Artibonite,HT0533,La Chapelle,2,ACTED,Agency for Technical Cooperation and Development,International NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,La Chapelle,HT05,Artibonite,HT0533,La Chapelle,2,ACTED,Agency for Technical Cooperation and Development,International NGO,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,La Chapelle,HT05,Artibonite,HT0533,La Chapelle,2,FAO,Food and Agriculture Organization,United Nations,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,La Chapelle,HT05,Artibonite,HT0533,La Chapelle,2,MFPEJA,Mouvement des Femmes Progressistes pour l’Encadrement des Jeunes et Adultes ,National NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,La Chapelle,HT05,Artibonite,HT0533,La Chapelle,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Marmelade,HT05,Artibonite,HT0552,Marmelade,2,ACF,Action against Hunger,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Marmelade,HT05,Artibonite,HT0552,Marmelade,2,COFA,Collectif Femmes Artibonite,Civil Society,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Marmelade,HT05,Artibonite,HT0552,Marmelade,2,FAO,Food and Agriculture Organization,United Nations,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Marmelade,HT05,Artibonite,HT0552,Marmelade,2,MFPEJA,Mouvement des Femmes Progressistes pour l’Encadrement des Jeunes et Adultes ,National NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Marmelade,HT05,Artibonite,HT0552,Marmelade,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,HEA,Health,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Marmelade,HT05,Artibonite,HT0552,Marmelade,2,WFP,World Food Programme,United Nations,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Petite Riviere de l'Artibonite,HT05,Artibonite,HT0542,Petite Riviere de l'Artibonite,2,ACTED,Agency for Technical Cooperation and Development,International NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Petite Riviere de l'Artibonite,HT05,Artibonite,HT0542,Petite Riviere de l'Artibonite,2,ACTED,Agency for Technical Cooperation and Development,International NGO,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Petite Riviere de l'Artibonite,HT05,Artibonite,HT0542,Petite Riviere de l'Artibonite,2,C3D,Culture en Trois Dimensions,National NGO,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Petite Riviere de l'Artibonite,HT05,Artibonite,HT0542,Petite Riviere de l'Artibonite,2,COCIDECHC,Coordination Citoyenne pour les Grands Chantiers de Developpement Communautaire,National NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Petite Riviere de l'Artibonite,HT05,Artibonite,HT0542,Petite Riviere de l'Artibonite,2,COCIDECHC,Coordination Citoyenne pour les Grands Chantiers de Developpement Communautaire,National NGO,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Petite Riviere de l'Artibonite,HT05,Artibonite,HT0542,Petite Riviere de l'Artibonite,2,FAES,Fonds d'assistance économique et sociale,Government,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Petite Riviere de l'Artibonite,HT05,Artibonite,HT0542,Petite Riviere de l'Artibonite,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,HEA,Health,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Petite Riviere de l'Artibonite,HT05,Artibonite,HT0542,Petite Riviere de l'Artibonite,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Petite Riviere de l'Artibonite,HT05,Artibonite,HT0542,Petite Riviere de l'Artibonite,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,North-East,Vallieres,HT04,North-East,HT0441,Vallieres,2,AIDES,AIDES,National NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Petite Riviere de l'Artibonite,HT05,Artibonite,HT0542,Petite Riviere de l'Artibonite,2,WFP,World Food Programme,United Nations,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,AVSI,Associazione Volontari Servizio Internazionale,International NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,C3D,Culture en Trois Dimensions,National NGO,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,CAID,Christian Aid,International NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,COCIDECHC,Coordination Citoyenne pour les Grands Chantiers de Developpement Communautaire,National NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,FAES,Fonds d'assistance économique et sociale,Government,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,GIRADEL,"Groupe pour l’Inclusion, la Recherche et l’Appui au Développement d’Haïti",National NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,GIRADEL,"Groupe pour l’Inclusion, la Recherche et l’Appui au Développement d’Haïti",National NGO,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,IBESR,Institut Du Bien-Etre Social Et De Recherches,Government,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,IRC,International Rescue Committee,International NGO,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,LWOB Canada,Lawyers without Borders Canada,International NGO,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,OFAVA,Oganizayon Fanm Vanyan an Aksyon,National NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,ONM,National Office for Migration,Government,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,HEA,Health,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,ZL,Zanmi Lasante,National NGO,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Marc,HT05,Artibonite,HT0531,Saint-Marc,2,ZL,Zanmi Lasante,National NGO,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Michel de l'Attalaye,HT05,Artibonite,HT0551,Saint-Michel de l'Attalaye,2,ACF,Action against Hunger,International NGO,WSH,Water Sanitation Hygiene,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Michel de l'Attalaye,HT05,Artibonite,HT0551,Saint-Michel de l'Attalaye,2,CECI,Centre d'Etude et de Cooperation Internationale,International NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Michel de l'Attalaye,HT05,Artibonite,HT0551,Saint-Michel de l'Attalaye,2,CECI,Centre d'Etude et de Cooperation Internationale,International NGO,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Michel de l'Attalaye,HT05,Artibonite,HT0551,Saint-Michel de l'Attalaye,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,HEA,Health,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Michel de l'Attalaye,HT05,Artibonite,HT0551,Saint-Michel de l'Attalaye,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Michel de l'Attalaye,HT05,Artibonite,HT0551,Saint-Michel de l'Attalaye,2,PFSML,Plateforme Des Femmes De Saint Michel De L'attalaye,National NGO,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Michel de l'Attalaye,HT05,Artibonite,HT0551,Saint-Michel de l'Attalaye,2,PI,Plan International,International NGO,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Michel de l'Attalaye,HT05,Artibonite,HT0551,Saint-Michel de l'Attalaye,2,WFP,World Food Programme,United Nations,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Saint-Michel de l'Attalaye,HT05,Artibonite,HT0551,Saint-Michel de l'Attalaye,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Terre Neuve,HT05,Artibonite,HT0522,Terre Neuve,2,ACF,Action against Hunger,International NGO,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Terre Neuve,HT05,Artibonite,HT0522,Terre Neuve,2,PLAFODA,Plateforme des Femmes Organisées pour le Développement de l'Artibonite,Civil Society,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Terre Neuve,HT05,Artibonite,HT0522,Terre Neuve,2,RAFEDET,Rassemblement des Femmes pour le Développement de Terre-Neuve,Civil Society,PRO-CPN,Child Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Terre Neuve,HT05,Artibonite,HT0522,Terre Neuve,2,RAFEDET,Rassemblement des Femmes pour le Développement de Terre-Neuve,Civil Society,PRO-GBV,Gender Based Violence,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Terre Neuve,HT05,Artibonite,HT0522,Terre Neuve,2,WFP,World Food Programme,United Nations,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Verrettes,HT05,Artibonite,HT0532,Verrettes,2,ACTED,Agency for Technical Cooperation and Development,International NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Verrettes,HT05,Artibonite,HT0532,Verrettes,2,ACTED,Agency for Technical Cooperation and Development,International NGO,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Verrettes,HT05,Artibonite,HT0532,Verrettes,2,FAES,Fonds d'assistance économique et sociale,Government,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Verrettes,HT05,Artibonite,HT0532,Verrettes,2,FAO,Food and Agriculture Organization,United Nations,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Verrettes,HT05,Artibonite,HT0532,Verrettes,2,HAS,Hôpital Albert Schweitzer,International NGO,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Verrettes,HT05,Artibonite,HT0532,Verrettes,2,MFPEJA,Mouvement des Femmes Progressistes pour l’Encadrement des Jeunes et Adultes ,National NGO,FSC,Food Security,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Verrettes,HT05,Artibonite,HT0532,Verrettes,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,HEA,Health,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Verrettes,HT05,Artibonite,HT0532,Verrettes,2,PAHO/WHO,Pan American Health Organization/World Health Organization,United Nations,NUT,Nutrition,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Verrettes,HT05,Artibonite,HT0532,Verrettes,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Verrettes,HT05,Artibonite,HT0532,Verrettes,2,WFP,World Food Programme,United Nations,EDU,Education,2025-01-01,2025-02-28
HTI,True,True,Artibonite,Verrettes,HT05,Artibonite,HT0532,Verrettes,2,ZL,Zanmi Lasante,National NGO,NUT,Nutrition,2025-01-01,2025-02-28
